iceberg_id,datetime,latitude,longitude,target_latitude,target_longitude,predicted_latitude,predicted_longitude,prediction_error_km,predicted_movement_km,trajectory_uncertainty,movement_risk,iceberg_risk_score,iceberg_risk_level
a22a,2002-02-17,-76.3429,-46.154,-76.3429,-46.154,-76.3409940012998,-46.15296020029962,0.2136885696231045,0.2136885696231045,0.014204188099882935,0.020109941773061444,1.656648956915434,Low
a22a,2002-02-18,-76.3429,-46.154,-76.3429,-46.154,-76.34110765078697,-46.15334924443616,0.20003120988483092,0.20003120988483092,0.013296363656992232,0.01882466615165198,1.550768465485613,Low
a22a,2002-02-19,-76.3429,-46.154,-76.3429,-46.154,-76.33715713922594,-46.146862874316184,0.66551214344424,0.66551214344424,0.044237554142045096,0.06263044615598352,5.159471094762047,Low
a22a,2002-02-20,-76.3429,-46.154,-76.3429,-46.154,-76.34059370615394,-46.1555529545779,0.25966955324149005,0.25966955324149005,0.017260610544401776,0.024437149844437143,2.013122626441592,Low
a22a,2002-02-21,-76.3429,-46.154,-76.3429,-46.154,-76.34172971101854,-46.157468282752376,0.15882697111882635,0.15882697111882635,0.010557458347376944,0.014946991066601098,1.2313271435066604,Low
a22a,2002-02-22,-76.3429,-46.154,-76.3429,-46.154,-76.340005500017,-46.15367331363851,0.32196799788472924,0.32196799788472924,0.021401678209384812,0.030299972065286406,2.496099575174545,Low
a22a,2002-02-23,-76.3429,-46.154,-76.3429,-46.154,-76.336323912183,-46.14458375399386,0.7719060284365713,0.7719060284365713,0.05130970946497065,0.07264303052574778,5.98430378892815,Low
a22a,2002-02-24,-76.3429,-46.154,-76.3429,-46.154,-76.34076433809237,-46.15408529647357,0.23748532937021372,0.23748532937021372,0.01578599311739902,0.022349422592021245,1.841136490724791,Low
a22a,2002-02-25,-76.3429,-46.154,-76.3429,-46.154,-76.34163151943922,-46.15777322863738,0.17236350705315498,0.17236350705315498,0.011457251457374152,0.016220896123518423,1.336270932383186,Low
a22a,2002-02-26,-76.3429,-46.154,-76.3429,-46.154,-76.34929299577163,-46.13838878072613,0.8205143395332025,0.8205143395332025,0.054540774164649954,0.07721749282648856,6.361146162938539,Low
a22a,2002-02-27,-76.3429,-46.154,-76.3429,-46.154,-76.34069024260943,-46.156098541412064,0.2518160041256571,0.2518160041256571,0.016738573782726997,0.023698062977461347,1.9522369460620737,Low
a22a,2002-02-28,-76.3429,-46.154,-76.3429,-46.154,-76.34111333343387,-46.15532222648528,0.20167871136603174,0.20167871136603174,0.013405875461835545,0.018979710283944205,1.563540939067901,Low
a22a,2002-03-01,-76.3429,-46.154,-76.4435,-45.9548,-76.3379942101189,-46.147536023461015,12.76957289381064,0.5712965832964142,0.8488119680840495,0.05376394743763425,53.07927598254834,High
a22a,2002-03-02,-76.4435,-45.9548,-76.4435,-45.9548,-76.45140178320106,-45.917456065079335,1.3110601968339095,1.3110601968339095,0.08714806636098556,0.12338209884511163,10.164167935463599,Low
a22a,2002-03-03,-76.4435,-45.9548,-76.4435,-45.9548,-76.438350615359,-45.93443181119494,0.7808974521990207,0.7808974521990207,0.05190738239915168,0.07348920123407672,6.05401099331217,Low
a22a,2002-03-04,-76.4435,-45.9548,-76.4435,-45.9548,-76.43525681302468,-45.943023097594335,0.9666628413424281,0.9666628413424281,0.06425547633087134,0.09097133032368108,7.494181792799523,Low
a22a,2002-03-05,-76.4435,-45.9548,-76.4435,-45.9548,-76.43203231209216,-45.936979232757096,1.357178884280801,1.357178884280801,0.09021364217802977,0.12772226603722114,10.521709172170631,Low
a22a,2002-03-06,-76.4435,-45.9548,-76.4435,-45.9548,-76.43143971045903,-45.93455463999905,1.4412120312007939,1.4412120312007939,0.09579944691986478,0.13563051164225634,11.173187280882141,Low
a22a,2002-03-07,-76.4435,-45.9548,-76.4435,-45.9548,-76.43476040460943,-45.9418655389257,1.028650467813756,1.028650467813756,0.06837588346269399,0.09680490186748117,7.974749082460885,Low
a22a,2002-03-08,-76.4435,-45.9548,-76.4435,-45.9548,-76.4344148432067,-45.94176588602522,1.065852904731934,1.065852904731934,0.07084878321906307,0.10030597280244082,8.263165905241417,Low
a22a,2002-03-09,-76.4435,-45.9548,-76.4435,-45.9548,-76.43476631727553,-45.943717889576305,1.0132139131095093,1.0132139131095093,0.06734979335867027,0.09535218861835137,7.85507514625427,Low
a22a,2002-03-10,-76.4435,-45.9548,-76.4435,-45.9548,-76.44127281373063,-45.95597407948438,0.24953565914821146,0.24953565914821146,0.01658699595594202,0.023483462801140238,1.9345582694021306,Low
a22a,2002-03-11,-76.4435,-45.9548,-76.4435,-45.9548,-76.43579271833795,-45.94339773145012,0.9071060198762014,0.9071060198762014,0.060296648321354986,0.08536651854555527,7.032459641103511,Low
a22a,2002-03-12,-76.4435,-45.9548,-76.4435,-45.9548,-76.43062510379693,-45.934729411918,1.524291865339129,1.524291865339129,0.10132188358313306,0.14344904227299757,11.817274705907886,Low
a22a,2002-03-13,-76.4435,-45.9548,-76.4435,-45.9548,-76.43580421890881,-45.943165670435235,0.9079013210550966,0.9079013210550966,0.06034951314028756,0.08544136326199395,7.038625318897012,Low
a22a,2002-03-14,-76.4435,-45.9548,-76.4435,-45.9548,-76.43582621890882,-45.94333317043524,0.9041425245683911,0.9041425245683911,0.06009966050464816,0.08508762801720403,7.009484750967052,Low
